,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
TreasurySharesNumber,412250.0,412250.0,,,
OrdinarySharesNumber,249889745.0,249021245.0,249433495.0,249433495.0,
ShareIssued,250301995.0,249433495.0,249433495.0,249433495.0,
NetDebt,3837200000.0,3864690000.0,3563240000.0,2573950000.0,
TotalDebt,4812500000.0,4876930000.0,4435950000.0,3649000000.0,
TangibleBookValue,4022300000.0,3599050000.0,3903100000.0,4422762000.0,
InvestedCapital,11508500000.0,11078390000.0,10966760000.0,10069892000.0,
WorkingCapital,3687200000.0,1958660000.0,2311280000.0,2710590000.0,
NetTangibleAssets,4022300000.0,3599050000.0,3903100000.0,4422762000.0,
CapitalLeaseObligations,348700000.0,364140000.0,456970000.0,500090000.0,
CommonStockEquity,7044700000.0,6565600000.0,6987780000.0,6920982000.0,
TotalCapitalization,9783500000.0,7992790000.0,8488860000.0,8145532000.0,
TotalEquityGrossMinorityInterest,7703600000.0,7129590000.0,7491900000.0,7401042000.0,
MinorityInterest,658900000.0,563990000.0,504120000.0,480060000.0,
StockholdersEquity,7044700000.0,6565600000.0,6987780000.0,6920982000.0,
OtherEquityInterest,6544100000.0,773080000.0,563180000.0,470962000.0,
TreasuryStock,,24720000.0,57710000.0,57710000.0,89430000.0
RetainedEarnings,,957120000.0,996850000.0,885910000.0,599660000.0
AdditionalPaidInCapital,,9003240000.0,9003240000.0,8742550000.0,8726860000.0
CapitalStock,500600000.0,498860000.0,498860000.0,496740000.0,
CommonStock,500600000.0,498860000.0,498860000.0,496740000.0,
TotalLiabilitiesNetMinorityInterest,8315900000.0,8274250000.0,7799330000.0,7108668000.0,
TotalNonCurrentLiabilitiesNetMinorityInterest,3265800000.0,2004350000.0,2211750000.0,1987458000.0,
OtherNonCurrentLiabilities,,,3700000.0,6768000.0,8690000.0
NonCurrentDeferredTaxesLiabilities,37400000.0,68730000.0,122530000.0,157700000.0,
LongTermDebtAndCapitalLeaseObligation,3001900000.0,1718160000.0,1870780000.0,1643070000.0,
LongTermCapitalLeaseObligation,263100000.0,290970000.0,369700000.0,418520000.0,
LongTermDebt,2738800000.0,1427190000.0,1501080000.0,1224550000.0,
LongTermProvisions,226500000.0,217460000.0,214740000.0,163820000.0,
CurrentLiabilities,5050100000.0,6269900000.0,5587580000.0,5121210000.0,
OtherCurrentLiabilities,240500000.0,258000000.0,186020000.0,137660000.0,
CurrentDebtAndCapitalLeaseObligation,1810600000.0,3158770000.0,2565170000.0,2005930000.0,
CurrentCapitalLeaseObligation,85600000.0,73170000.0,87270000.0,81570000.0,
CurrentDebt,1725000000.0,3085600000.0,2477900000.0,1924360000.0,
CurrentProvisions,75900000.0,79640000.0,164200000.0,73050000.0,
Payables,2685800000.0,2665740000.0,2576310000.0,2693240000.0,
OtherPayable,,29430000.0,69210000.0,30150000.0,45560000.0
DividendsPayable,,290000.0,290000.0,300000.0,160000.0
TotalTaxPayable,118600000.0,33430000.0,63410000.0,82340000.0,
AccountsPayable,2567200000.0,2602590000.0,2443400000.0,2580450000.0,
TotalAssets,16019500000.0,15403840000.0,15291230000.0,14509710000.0,
TotalNonCurrentAssets,7282200000.0,7175280000.0,7392370000.0,6677910000.0,
OtherNonCurrentAssets,36600000.0,51580000.0,-40000.0,8970000.0,
NonCurrentPrepaidAssets,,72620000.0,105930000.0,46070000.0,56310000.0
NonCurrentDeferredTaxesAssets,1027200000.0,783550000.0,453620000.0,291980000.0,
InvestmentinFinancialAssets,105100000.0,75460000.0,71010000.0,438590000.0,
AvailableForSaleSecurities,105100000.0,66530000.0,70960000.0,438590000.0,
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,,8930000.0,50000.0,,
GoodwillAndOtherIntangibleAssets,3022400000.0,2966550000.0,3084680000.0,2498220000.0,
OtherIntangibleAssets,534500000.0,617210000.0,684260000.0,690380000.0,
Goodwill,2487900000.0,2349340000.0,2400420000.0,1807840000.0,
NetPPE,2994300000.0,3112250000.0,3521290000.0,3262510000.0,
AccumulatedDepreciation,,-2732040000.0,-2508190000.0,-1964750000.0,-1601780000.0
GrossPPE,2994300000.0,5844290000.0,6029480000.0,5227260000.0,
ConstructionInProgress,150800000.0,110810000.0,513870000.0,88130000.0,
OtherProperties,2843500000.0,3001440000.0,3007410000.0,3165300000.0,
MachineryFurnitureEquipment,,3542960000.0,3336170000.0,2873600000.0,2550790000.0
BuildingsAndImprovements,,1616660000.0,1522140000.0,1506810000.0,1478700000.0
LandAndImprovements,,573860000.0,657300000.0,758720000.0,763020000.0
Properties,,0.0,0.0,0.0,0.0
CurrentAssets,8737300000.0,8228560000.0,7898860000.0,7831800000.0,
OtherCurrentAssets,537300000.0,17750000.0,4800000.0,5990000.0,
HedgingAssetsCurrent,,2080000.0,6430000.0,2760000.0,1850000.0
AssetsHeldForSaleCurrent,8100000.0,119190000.0,100920000.0,0.0,
RestrictedCash,,50200000.0,1720000.0,17570000.0,24520000.0
PrepaidAssets,,524430000.0,454950000.0,424840000.0,294240000.0
Inventory,3853200000.0,3462320000.0,3460890000.0,3479740000.0,
OtherInventories,,5540000.0,5500000.0,4970000.0,3760000.0
FinishedGoods,,1791240000.0,1650330000.0,1616300000.0,1307470000.0
WorkInProcess,,533630000.0,489140000.0,567840000.0,414940000.0
RawMaterials,,1131910000.0,1315920000.0,1290630000.0,917400000.0
OtherReceivables,2100000.0,4710000.0,7770000.0,9590000.0,
TaxesReceivable,2500000.0,3720000.0,35510000.0,7690000.0,
AccountsReceivable,3631700000.0,3356310000.0,3409620000.0,3292410000.0,
AllowanceForDoubtfulAccountsReceivable,,-33480000.0,-30070000.0,-38360000.0,-54990000.0
GrossAccountsReceivable,,3389790000.0,3439690000.0,3330770000.0,3516360000.0
CashCashEquivalentsAndShortTermInvestments,702400000.0,687850000.0,416250000.0,591210000.0,
OtherShortTermInvestments,75800000.0,39750000.0,510000.0,16250000.0,
CashAndCashEquivalents,626600000.0,648100000.0,415740000.0,574960000.0,
CashEquivalents,,4880000.0,760000.0,6060000.0,8890000.0
CashFinancial,,643220000.0,414980000.0,568900000.0,528550000.0
