,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
TreasurySharesNumber,,0.0,,,
OrdinarySharesNumber,1154180729.0,1140001121.0,1140001121.0,1099810083.0,
ShareIssued,1154180729.0,1140001121.0,1140001121.0,1099810083.0,
NetDebt,731306300000.0,478173300000.0,364372900000.0,401115400000.0,
TotalDebt,918191700000.0,653101500000.0,532004600000.0,416040300000.0,
TangibleBookValue,207724400000.0,194366300000.0,203533900000.0,96480900000.0,
InvestedCapital,1265503800000.0,891999700000.0,713706300000.0,632802800000.0,
WorkingCapital,-66386800000.0,-76247900000.0,-75207700000.0,-129043900000.0,
NetTangibleAssets,207724400000.0,194366300000.0,203533900000.0,96480900000.0,
CapitalLeaseObligations,155827600000.0,151862700000.0,148808400000.0,5802600000.0,
CommonStockEquity,503139700000.0,390760900000.0,330510100000.0,222565100000.0,
TotalCapitalization,1149152300000.0,827942400000.0,656410400000.0,430599400000.0,
TotalEquityGrossMinorityInterest,564704500000.0,441862900000.0,378900500000.0,269283700000.0,
MinorityInterest,61564800000.0,51102000000.0,48390400000.0,46718600000.0,
StockholdersEquity,503139700000.0,390760900000.0,330510100000.0,222565100000.0,
OtherEquityInterest,501985500000.0,38011200000.0,11771200000.0,18171200000.0,
RetainedEarnings,,186290600000.0,155857300000.0,132224500000.0,126790700000.0
AdditionalPaidInCapital,,102288300000.0,102138300000.0,32909600000.0,10181600000.0
CapitalStock,1154200000.0,1140000000.0,1140000000.0,1099800000.0,
CommonStock,1154200000.0,1140000000.0,1140000000.0,1099800000.0,
TotalLiabilitiesNetMinorityInterest,1416650900000.0,1165455600000.0,1035977700000.0,748318200000.0,
TotalNonCurrentLiabilitiesNetMinorityInterest,942819400000.0,718938700000.0,587947200000.0,309820400000.0,
OtherNonCurrentLiabilities,64592000000.0,5048000000.0,6739000000.0,7830500000.0,
DerivativeProductLiabilities,,436900000.0,856800000.0,0.0,
TradeandOtherPayablesNonCurrent,,5131500000.0,3235000000.0,679700000.0,829400000.0
NonCurrentDeferredRevenue,,66273700000.0,53514800000.0,38420500000.0,2697200000.0
NonCurrentDeferredTaxesLiabilities,33623500000.0,29338400000.0,29799100000.0,26062700000.0,
LongTermDebtAndCapitalLeaseObligation,788315200000.0,576378400000.0,461745800000.0,213200500000.0,
LongTermCapitalLeaseObligation,142302600000.0,139196900000.0,135845500000.0,5166200000.0,
LongTermDebt,646012600000.0,437181500000.0,325900300000.0,208034300000.0,
LongTermProvisions,4885800000.0,4464500000.0,4014900000.0,2789700000.0,
CurrentLiabilities,473831500000.0,446516900000.0,448030500000.0,438497800000.0,
OtherCurrentLiabilities,43361100000.0,6168900000.0,5419400000.0,3222500000.0,
CurrentDebtAndCapitalLeaseObligation,129876500000.0,76723100000.0,70258800000.0,202839800000.0,
CurrentCapitalLeaseObligation,13525000000.0,12665800000.0,12962900000.0,636400000.0,
CurrentDebt,116351500000.0,64057300000.0,57295900000.0,202203400000.0,
CurrentProvisions,2201600000.0,1526200000.0,1210200000.0,957300000.0,
Payables,210626700000.0,297382000000.0,331603500000.0,207235500000.0,
OtherPayable,,40262400000.0,39389300000.0,24126500000.0,14901600000.0
DividendsPayable,,2900000.0,2900000.0,3700000.0,3700000.0
TotalTaxPayable,1949900000.0,1531700000.0,1014900000.0,1676600000.0,
AccountsPayable,208676800000.0,255585000000.0,291196400000.0,181428700000.0,
TotalAssets,1981355400000.0,1607318500000.0,1414878200000.0,1017601900000.0,
TotalNonCurrentAssets,1573910700000.0,1237049600000.0,1042055600000.0,708148100000.0,
OtherNonCurrentAssets,71823200000.0,78200000.0,242000000.0,322200000.0,
NonCurrentPrepaidAssets,,38264600000.0,47929300000.0,31676400000.0,16904800000.0
NonCurrentDeferredTaxesAssets,2926600000.0,1456100000.0,2093400000.0,1738300000.0,
InvestmentinFinancialAssets,90531200000.0,50743300000.0,38920900000.0,16268700000.0,
HeldToMaturitySecurities,,200000.0,200000.0,200000.0,800000.0
AvailableForSaleSecurities,90531200000.0,50699000000.0,38822700000.0,16266700000.0,
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,,44300000.0,98200000.0,2000000.0,18029500000.0
LongTermEquityInvestment,73970700000.0,70749500000.0,59747800000.0,42289700000.0,
InvestmentsinJointVenturesatCost,,,,40895000000.0,19260000000.0
InvestmentsinAssociatesatCost,,,,1394700000.0,17444000000.0
InvestmentProperties,2226000000.0,2408000000.0,683100000.0,465500000.0,
GoodwillAndOtherIntangibleAssets,295415300000.0,196394600000.0,126976200000.0,126084200000.0,
OtherIntangibleAssets,284554800000.0,185994500000.0,118104600000.0,123075000000.0,
Goodwill,10860500000.0,10400100000.0,8871600000.0,3009200000.0,
NetPPE,990118200000.0,841648200000.0,709140000000.0,423360900000.0,
AccumulatedDepreciation,,-77075800000.0,-49180000000.0,-31502300000.0,-20696400000.0
GrossPPE,990118200000.0,918724000000.0,758320000000.0,454863200000.0,
ConstructionInProgress,318566000000.0,248182500000.0,204725300000.0,208880300000.0,
OtherProperties,671552200000.0,6633500000.0,4365900000.0,16071100000.0,
MachineryFurnitureEquipment,,319357200000.0,240068800000.0,72709400000.0,50975900000.0
BuildingsAndImprovements,,180211200000.0,143913000000.0,109514800000.0,13892100000.0
LandAndImprovements,,64871700000.0,66604900000.0,39210200000.0,9863100000.0
Properties,,99467900000.0,98642100000.0,8477400000.0,8039600000.0
CurrentAssets,407444700000.0,370269000000.0,372822800000.0,309453900000.0,
OtherCurrentAssets,65855900000.0,868700000.0,959400000.0,5500000.0,
HedgingAssetsCurrent,,849700000.0,3094400000.0,32800000.0,40900000.0
AssetsHeldForSaleCurrent,185800000.0,3339400000.0,1000000000.0,,
RestrictedCash,,47292300000.0,33747100000.0,27265700000.0,6142400000.0
PrepaidAssets,,46418000000.0,44511100000.0,17551900000.0,8890200000.0
Inventory,102873900000.0,94868600000.0,69180500000.0,67882800000.0,
FinishedGoods,,59255900000.0,62070800000.0,58478700000.0,12336200000.0
WorkInProcess,,18670100000.0,4690300000.0,5010800000.0,2957700000.0
RawMaterials,,16942600000.0,2419400000.0,4393300000.0,2276500000.0
OtherReceivables,14160100000.0,33225300000.0,66462900000.0,42180900000.0,
TaxesReceivable,,,838300000.0,111600000.0,319100000.0
AccountsReceivable,96164700000.0,97929300000.0,125528800000.0,137121900000.0,
AllowanceForDoubtfulAccountsReceivable,,-926000000.0,-1128500000.0,-849200000.0,-738500000.0
GrossAccountsReceivable,,98855300000.0,126657300000.0,137971100000.0,120565000000.0
CashCashEquivalentsAndShortTermInvestments,128204300000.0,45477700000.0,28338600000.0,17300800000.0,
OtherShortTermInvestments,97146500000.0,22412200000.0,9515300000.0,8178500000.0,
CashAndCashEquivalents,31057800000.0,23065500000.0,18823300000.0,9122300000.0,
CashEquivalents,,3777200000.0,2754800000.0,999000000.0,1579700000.0
CashFinancial,,19288300000.0,16068500000.0,8123300000.0,5081800000.0
